"Date ""Plot"" ""NEE"" ""ER"" ""ET"" ""Tav"" ""Par"" ""block"" ""PT"""
"17 2020-07-15 ""H5P01"" 2.02537369189383 2.68434184671505 1.5931621134628 35.254 260.955555555556 ""H5"" ""S3"""
"18 2020-07-15 ""H5P03"" 2.07138203389134 3.19702621046893 1.51801637903387 34.8455555555556 222.4 ""H5"" ""S4"""
"19 2020-07-15 ""H5P09"" 3.06706921761564 2.60395958333833 1.91157254378288 34.0722222222222 232.288888888889 ""H5"" ""S2"""
"20 2020-07-15 ""H5P010"" 1.47286295669222 1.91424214677178 1.53279351022785 34.5291111111111 231.377777777778 ""H5"" ""S1"""
"21 2020-07-22 ""H1P01"" -0.510208316943852 0.943594593206295 0.704753545681401 36.2857142857143 624.742857142857 ""H1"" ""S4"""
"22 2020-07-22 ""H1P02"" -0.626173061757278 0.98594123307413 1.8107657693901 35.6057142857143 669.571428571429 ""H1"" ""S2"""
"23 2020-07-22 ""H1P04"" 0.00105409833317639 0.57696981231277 1.19987194271922 37.48 693.485714285714 ""H1"" ""S1"""
"24 2020-07-22 ""H1P10"" -0.892395782367307 0.610145143847204 0.685388854018595 38.0108571428571 805.542857142857 ""H1"" ""S3"""
"25 2020-07-22 ""H3P07"" -0.533873732210878 0.176857341005578 0.799021936317774 38.9975 821.166666666667 ""H3"" ""S4"""
"26 2020-07-22 ""H3P09"" -0.916105156484123 0.785900906233617 1.84128597318348 39.3466666666667 883.138888888889 ""H3"" ""S2"""
"27 2020-07-22 ""H3P10"" -0.826679779944801 0.345066407282325 0.818854973664171 41.3785714285714 937.4 ""H3"" ""S3"""
"28 2020-07-22 ""H3P11"" -0.836294642144068 -0.065762745904036 1.65171805320544 41.0608571428571 925 ""H3"" ""S1"""
"29 2020-07-22 ""H5P01"" -1.09140315932636 0.862367307410685 0.955552502693362 40.1483333333333 1075.77777777778 ""H5"" ""S3"""
"30 2020-07-22 ""H5P02"" -0.0836783179325005 0.386925645614688 0.712624556001492 42.4169444444444 1198.08333333333 ""H5"" ""S4"""
"31 2020-07-22 ""H5P08"" -1.65814047448983 1.35380562532378 1.92130550652917 42.856 1274.11428571429 ""H5"" ""S1"""
"32 2020-07-22 ""H5P09"" -1.13145525492931 0.403479121994801 2.44326756582932 43.5665714285714 1381.05714285714 ""H5"" ""S2"""
"33 2020-07-22 ""H4P02"" 0.480197344220618 0.712459491918205 0.37101560719712 35.7794444444444 374.472222222222 ""H4"" ""S3"""
"34 2020-07-22 ""H4P03"" 0.651249979452295 -0.396658263110635 1.3702615398209 36.7862857142857 472.028571428571 ""H4"" ""S2"""
"35 2020-07-22 ""H4P10"" -0.768454463220053 0.433786401851973 1.13812896882905 45.4791666666667 1122.61111111111 ""H4"" ""S1"""
"36 2020-07-22 ""H4P11"" 0.480398776230591 0.529962083369865 0.451746491156157 42.1697142857143 643.685714285714 ""H4"" ""S4"""
"37 2020-07-22 ""H2P02"" 0.045234600435851 1.4943418742853 2.27409600332224 42.5319444444444 1137.72222222222 ""H2"" ""S2"""
"38 2020-07-22 ""H2P03"" 0.530412108056695 0.886397624990964 0.482428652144168 40.108 604 ""H2"" ""S3"""
"39 2020-07-22 ""H2P04"" 0.537142781850035 1.55353520810881 1.17707784267486 38.7225714285714 544.542857142857 ""H2"" ""S1"""
"40 2020-07-22 ""H2P06"" 0.385686038132128 1.32930362791094 0.457863712710156 40.522 712.371428571429 ""H2"" ""S4"""
"41 2020-07-29 ""H1P01"" -1.56284398893658 0.682395071607977 0.633136489434936 38.3819444444444 527.083333333333 ""H1"" ""S4"""
"42 2020-07-29 ""H1P02"" -1.55635305545385 0.779405058234756 2.16746662250231 36.7531428571429 630 ""H1"" ""S2"""
"43 2020-07-29 ""H1P04"" -0.659547680781077 1.1619509808949 1.73380456100585 38.428 588.428571428571 ""H1"" ""S1"""
"44 2020-07-29 ""H1P10"" -1.02992990334835 2.29814320737642 2.31632126623794 38.932 760 ""H1"" ""S3"""
"45 2020-07-29 ""H3P07"" -0.184157994757871 0.695801781576977 0.682938854721527 40.7594444444444 756.166666666667 ""H3"" ""S4"""
"46 2020-07-29 ""H3P09"" -1.13665209589993 2.16807221773596 2.71964853846239 39.9097142857143 781.4 ""H3"" ""S2"""
"47 2020-07-29 ""H3P10"" -0.126407026179879 1.71457886429592 2.72389172952211 40.054 733.257142857143 ""H3"" ""S3"""
"48 2020-07-29 ""H3P11"" -1.23759276723046 1.3448213846857 2.04558767546782 40.8975 919.972222222222 ""H3"" ""S1"""
"49 2020-07-29 ""H5P01"" -1.91969481225469 2.09452894900655 4.02420567358063 41.0008571428571 1065 ""H5"" ""S3"""
"50 2020-07-29 ""H5P02"" 0.135914073303202 0.975504038074724 0.52972714931109 44.7414285714286 1137.65714285714 ""H5"" ""S4"""
"51 2020-07-29 ""H5P08"" -2.46060787157538 2.02149472505924 2.37573601732968 43.9302777777778 1062.25 ""H5"" ""S1"""
"52 2020-07-29 ""H5P09"" -2.93587774986263 2.57310887144469 3.05420940095159 43.7811428571429 1168.74285714286 ""H5"" ""S2"""
"53 2020-07-29 ""H4P02"" 0.189428244252097 1.93945476433131 2.53522557015145 42.9169444444444 1159.86111111111 ""H4"" ""S3"""
"54 2020-07-29 ""H4P03"" -0.734920046870673 1.32623047954445 2.44728466693853 43.1194285714286 1182.4 ""H4"" ""S2"""
"55 2020-07-29 ""H4P10"" -0.542978022746921 1.049445195989 1.29324740607193 43.8734285714286 1117.62857142857 ""H4"" ""S1"""
"56 2020-07-29 ""H4P11"" 0.0474377958181285 0.324448275558289 0.358325634973912 45.1894285714286 1127.02857142857 ""H4"" ""S4"""
"57 2020-07-29 ""H2P02"" 0.107442278068825 1.05481715693757 2.87305037655645 44.5394285714286 1290.8 ""H2"" ""S2"""
"58 2020-07-29 ""H2P03"" 0.639205054842443 1.46047793784491 3.12827076970854 44.1668571428571 1267.14285714286 ""H2"" ""S3"""
"59 2020-07-29 ""H2P04"" -1.17768660455588 0.966649824731308 1.54206419517663 43.2882857142857 1294.91428571429 ""H2"" ""S1"""
"60 2020-07-29 ""H2P06"" -0.243619420129196 0.342142882476528 0.549505137643904 43.2714285714286 1305.37142857143 ""H2"" ""S4"""
"61 2020-08-05 ""H1P01"" -1.08593012745305 2.4452114600682 2.2414530063544 39.2048571428571 648.657142857143 ""H1"" ""S4"""
"62 2020-08-05 ""H1P02"" -0.0822848892191603 1.10487704676884 1.10821757293938 38.6097142857143 515.828571428571 ""H1"" ""S2"""
"63 2020-08-05 ""H1P04"" -0.201942669684569 1.70022875564313 0.752843728224613 36.4016666666667 294 ""H1"" ""S1"""
"64 2020-08-05 ""H1P10"" -1.75586189670982 1.86145550824488 0.876943105442365 35.934 441.371428571429 ""H1"" ""S3"""
"65 2020-08-05 ""H3P07"" 0.425335600998079 1.72014828431744 1.85570708910441 35.4758823529412 414.588235294118 ""H3"" ""S4"""
"66 2020-08-05 ""H3P09"" -2.67976619716445 1.18337493941818 1.55722068965006 36.4685714285714 660.971428571429 ""H3"" ""S2"""
"67 2020-08-05 ""H3P10"" -1.45636917986998 0.535102183815063 0.915631618048862 39.9997142857143 785.171428571429 ""H3"" ""S3"""
"68 2020-08-05 ""H3P11"" -1.07487384414305 0.281151642961642 1.13633876627745 40.7394285714286 658.428571428571 ""H3"" ""S1"""
"69 2020-08-05 ""H5P01"" -1.93721019431854 1.41867539663893 1.18056009422548 39.972 1195.68571428571 ""H5"" ""S3"""
"70 2020-08-05 ""H5P02"" -1.02062693464407 1.65969005582366 2.47880138888391 43.1002777777778 1292.36111111111 ""H5"" ""S4"""
"71 2020-08-05 ""H5P08"" -2.14023401433452 1.42654113966867 1.4907111902273 45.5228571428571 1161.6 ""H5"" ""S1"""
"72 2020-08-05 ""H5P09"" -3.37249094952693 1.89860575813805 2.38272984836172 45.8942857142857 1137.02857142857 ""H5"" ""S2"""
"73 2020-08-05 ""H4P02"" -1.211451613112 0.167663955066926 0.908399140377562 46.1642857142857 1206.14285714286 ""H4"" ""S3"""
"74 2020-08-05 ""H4P03"" -2.12508950381011 1.04965573532558 2.48156547629599 46.0757142857143 1284.54285714286 ""H4"" ""S2"""
"75 2020-08-05 ""H4P10"" -1.33512876111465 0.312416269202203 1.55801969092245 48.0691428571429 1286.45714285714 ""H4"" ""S1"""
"76 2020-08-05 ""H4P11"" 0.379462034864036 0.80793367838418 2.07782918844267 47.5166666666667 1345.33333333333 ""H4"" ""S4"""
"77 2020-08-05 ""H2P02"" -0.807797397427979 0.450944280360009 2.23605146498756 48.0511428571429 1035.8 ""H2"" ""S2"""
"78 2020-08-05 ""H2P03"" -1.05520303616909 -0.274377663300633 0.802435658988469 49.3771428571429 1319.85714285714 ""H2"" ""S3"""
"79 2020-08-05 ""H2P04"" -1.88385497581738 1.03743932180464 1.72112296481436 48.5234285714286 1459.85714285714 ""H2"" ""S1"""
"80 2020-08-05 ""H2P06"" 1.27416478399456 1.87327794119973 2.04823602904513 44.3134285714286 608.942857142857 ""H2"" ""S4"""
"81 2020-08-12 ""H1P01"" -3.65118147257241 1.36793328534846 1.24386711098889 37.7727777777778 495.111111111111 ""H1"" ""S4"""
"82 2020-08-12 ""H1P02"" -1.28980781429362 0.570144838542624 1.06945933277383 37.8622857142857 534.714285714286 ""H1"" ""S2"""
"83 2020-08-12 ""H1P04"" -1.75693791471432 0.471435978270737 0.886473762117569 39.3265714285714 582.285714285714 ""H1"" ""S1"""
"84 2020-08-12 ""H1P10"" -3.403812308513 2.63239267415624 2.25024042806513 38.6191428571429 634.885714285714 ""H1"" ""S3"""
"85 2020-08-12 ""H3P07"" -1.48234726430738 1.46848531366163 1.25180881780293 39.7488571428571 579.485714285714 ""H3"" ""S4"""
"86 2020-08-12 ""H3P09"" -2.45563565736013 1.93853161218788 1.67800860466679 40.2425714285714 663.742857142857 ""H3"" ""S2"""
"87 2020-08-12 ""H3P10"" -1.50501990335637 2.07104944162507 2.22059498277449 40.3662857142857 690.028571428571 ""H3"" ""S3"""
"88 2020-08-12 ""H3P11"" -1.43476140329177 1.16502738130959 1.25913221308561 42.1555555555556 780.638888888889 ""H3"" ""S1"""
"89 2020-08-12 ""H5P01"" -3.18640908294112 2.70940322661155 2.34533700535287 41.6048571428571 966.971428571429 ""H5"" ""S3"""
"90 2020-08-12 ""H5P02"" -2.22304618554611 1.93280518234421 1.43347741359986 43.8142857142857 1077.91428571429 ""H5"" ""S4"""
"91 2020-08-12 ""H5P08"" -0.934950132223045 2.0510100822948 1.01723155379247 46.7005714285714 1136.6 ""H5"" ""S1"""
"92 2020-08-12 ""H5P09"" -1.54476832014797 2.36029740969854 1.82857639913651 46.0388571428571 1005.85714285714 ""H5"" ""S2"""
"93 2020-08-12 ""H4P02"" -0.506815068039689 1.71549193537884 1.9891566111625 42.6314285714286 921.657142857143 ""H4"" ""S3"""
"94 2020-08-12 ""H4P03"" -1.97965935841408 2.30248588081513 1.90793759918686 42.9534285714286 927.085714285714 ""H4"" ""S2"""
"95 2020-08-12 ""H4P10"" -1.39776735383131 1.1968728188125 1.13485302745265 43.5185714285714 1112.85714285714 ""H4"" ""S1"""
"96 2020-08-12 ""H4P11"" 0.0342102477221242 0.455786008384495 0.513967642700906 45.8948571428571 1001.37142857143 ""H4"" ""S4"""
"97 2020-08-12 ""H2P02"" -0.560489365136181 0.906779017847632 1.49049644188752 43.6327777777778 1170.61111111111 ""H2"" ""S2"""
"98 2020-08-12 ""H2P03"" -0.0423231446101012 0.985789722182426 1.92918670272002 45.1797142857143 1101.77142857143 ""H2"" ""S3"""
"99 2020-08-12 ""H2P04"" -0.730237715686907 1.11385752323118 1.21325915051789 45.8951428571429 948.457142857143 ""H2"" ""S1"""
"100 2020-08-12 ""H2P06"" -0.671639304510888 1.12008230910587 1.11863029604819 47.0785714285714 1149.4 ""H2"" ""S4"""
"101 2020-08-19 ""H1P01S4"" -2.839926306 1.509677255 0.849952503 37.63485714 518.6285714 ""H1"" ""S4"""
"102 2020-08-19 ""H1P02S2"" -1.56049933 0.929825254 1.163932159 38.91971429 545.8 ""H1"" ""S2"""
"103 2020-08-19 ""H1P04S1"" -1.142543584 1.061954179 0.752702579 39.99514286 609.0857143 ""H1"" ""S1"""
"104 2020-08-19 ""H1P10S3"" -1.888045232 1.28548375 0.75978901 40.59666667 601.3333333 ""H1"" ""S3"""
"105 2020-08-19 ""H3P07S4"" -1.376865696 0.444022287 0.700974071 40.71371429 589.7142857 ""H3"" ""S4"""
"106 2020-08-19 ""H3P09S2"" -3.096548725 1.278139403 1.740855192 44.20028571 673.3714286 ""H3"" ""S2"""
"107 2020-08-19 ""H3P10S3"" -1.357289008 0.634942422 0.842324422 45.39971429 692.6857143 ""H3"" ""S3"""
"108 2020-08-19 ""H3P11S1"" -1.284757779 0.366024971 0.825289477 46.44628571 671.2 ""H3"" ""S1"""
"109 2020-08-19 ""H5P01S3"" -0.84317186 0.258846916 0.669272605 46.8 894.2571429 ""H5"" ""S3"""
"110 2020-08-19 ""H5P02S4"" -0.802580776 0.736682972 0.691175266 48.69257143 896.5142857 ""H5"" ""S4"""
"111 2020-08-19 ""H5P08S1"" -0.249485098 0.98171708 0.988703169 49.90038462 922.9615385 ""H5"" ""S1"""
"112 2020-08-19 ""H5P09S2"" -1.928793629 1.47028397 1.885404292 51.106 988.0571429 ""H5"" ""S2"""
"113 2020-08-19 ""H4P02S3"" -0.753109569 0.733912582 0.60186414 48.23714286 1029.571429 ""H4"" ""S3"""
"114 2020-08-19 ""H4P03S2"" -2.780977414 1.645854747 2.050105876 49.70942857 956.7428571 ""H4"" ""S2"""
"115 2020-08-19 ""H4P10S1"" -0.48726872 0.373769092 0.657577576 49.67914286 972.6285714 ""H4"" ""S1"""
"116 2020-08-19 ""H4P11S4"" -0.212725787 0.265030179 0.417902115 49.64085714 1007.971429 ""H4"" ""S4"""
"117 2020-08-19 ""H2P02S2"" -1.318752336 0.912573524 1.872323644 45.42 1083.314286 ""H2"" ""S2"""
"118 2020-08-19 ""H2P03S3"" -0.687865155 0.405962267 0.799630377 45.6975 1023.055556 ""H2"" ""S3"""
"119 2020-08-19 ""H2P04S1"" -1.082197411 0.352956354 1.095389831 44.32 1132.228571 ""H2"" ""S1"""
"120 2020-08-19 ""H2P06S4"" -0.888760659 0.104478428 0.823056003 43.99628571 1168.4 ""H2"" ""S4"""
"121 2020-08-24 ""H1P01S4"" -1.20874222033116 -0.51011870500613 0.244228647622738 36.7313888888889 270.194444444444 ""H1"" ""S4"""
"122 2020-08-24 ""H1P02S2"" -3.917436016947 -1.69447563071261 0.26948133170208 37.1968571428571 277.085714285714 ""H1"" ""S2"""
"123 2020-08-24 ""H1P04S1"" -1.05881226858712 -0.274867938913042 0.0972576267631655 37.8602857142857 269.371428571429 ""H1"" ""S1"""
"124 2020-08-24 ""H1P10S3"" -1.26341482844959 0.596217600595568 0.260329170060472 36.6022857142857 255.085714285714 ""H1"" ""S3"""
"125 2020-08-24 ""H3P07S4"" -0.348220972935786 0.246888513194118 0.294133319294633 36.344 250.142857142857 ""H3"" ""S4"""
"126 2020-08-24 ""H3P09S2"" -0.514445235279663 -0.0858386816039576 0.537495366211779 36.5082857142857 253.428571428571 ""H3"" ""S2"""
"127 2020-08-24 ""H3P10S3"" -0.752527689024053 -0.193686582306044 0.317064547066881 37.095 264.527777777778 ""H3"" ""S3"""
"128 2020-08-24 ""H3P11S1"" -1.08435832030617 -0.0956719900634978 0.347339250131223 37.6705555555556 289.25 ""H3"" ""S1"""
"129 2020-08-24 ""H5P01S3"" -0.397529757806031 -0.625911103233422 0.275223966978688 37.7341666666667 319.805555555556 ""H5"" ""S3"""
"130 2020-08-24 ""H5P02S4"" -1.00827739990548 0.348524843036188 0.333292727955207 38.3794285714286 358.657142857143 ""H5"" ""S4"""
"131 2020-08-24 ""H5P08S1"" 0.221635355771381 0.347079144971266 0.402928954938534 39.2091428571429 394.314285714286 ""H5"" ""S1"""
"132 2020-08-24 ""H5P09S2"" 0.442766138793948 2.32578806312751 0.488023085191088 48.0845714285714 803.914285714286 ""H5"" ""S2"""
"133 2020-08-24 ""H4P02S3"" 0.0965478928735762 0.609174186603962 0.156461108373575 43.8163888888889 365.416666666667 ""H4"" ""S3"""
"134 2020-08-24 ""H4P03S2"" -0.742422374836023 1.9749134683511 0.476361394646567 48.6558333333333 842.666666666667 ""H4"" ""S2"""
"135 2020-08-24 ""H4P10S1"" 0.530112506843155 0.224259410005687 0.285120875821613 51.0574285714286 958.4 ""H4"" ""S1"""
"136 2020-08-24 ""H4P11S4"" 0.0828894144352318 -0.269754806786701 0.137884405048057 46.3194285714286 499.057142857143 ""H4"" ""S4"""
"137 2020-08-24 ""H2P02S2"" 0.483278676278029 1.56166913037177 0.267280094440694 43.0122857142857 231.542857142857 ""H2"" ""S2"""
"138 2020-08-24 ""H2P03S3"" 0.865401294704439 1.60733226150097 0.204107506839263 41.8542857142857 191.714285714286 ""H2"" ""S3"""
"139 2020-08-24 ""H2P04S1"" 0.88396825678901 1.64166771438578 0.24018642834379 40.0157142857143 172.971428571429 ""H2"" ""S1"""
"140 2020-08-24 ""H2P06S4"" 0.325739334483086 0.853737490350523 0.175133758791498 38.1645714285714 187.942857142857 ""H2"" ""S4"""
"141 2020-08-25 ""H1P01S4"" -2.82279711185565 5.75041929088333 2.44196960053963 38.8014285714286 540.742857142857 ""H1"" ""S4"""
"142 2020-08-25 ""H1P02S2"" -1.67613006939739 2.0335541906641 1.86491063618977 39.8442857142857 610.371428571429 ""H1"" ""S2"""
"143 2020-08-25 ""H1P04S1"" -1.16650869902395 1.24444947374519 1.12855467918761 41.2822857142857 593.514285714286 ""H1"" ""S1"""
"144 2020-08-25 ""H1P10S3"" -4.53125777385782 4.42641268239663 2.62549519612856 40.7811428571429 679.457142857143 ""H1"" ""S3"""
"145 2020-08-25 ""H3P07S4"" -2.57956579022109 2.88036913134413 2.77535400972681 44.0491428571429 847.4 ""H3"" ""S4"""
"146 2020-08-25 ""H3P09S2"" -2.77068213459796 2.79998930544198 1.92008280787715 42.6357142857143 658.657142857143 ""H3"" ""S2"""
"147 2020-08-25 ""H3P10S3"" -1.37544633323698 3.82042780347593 2.28726377306117 43.3408571428571 617.8 ""H3"" ""S3"""
"148 2020-08-25 ""H3P11S1"" -1.42915785543727 1.19250254060836 1.36086965530757 42.7448571428571 610.4 ""H3"" ""S1"""
"149 2020-08-25 ""H5P01S3"" -1.98679359038397 3.27644909233014 2.65985001067225 40.988 604 ""H5"" ""S3"""
"150 2020-08-25 ""H5P02S4"" 0.502323392736717 2.59032973789397 2.7078216864682 41.1417142857143 564 ""H5"" ""S4"""
"151 2020-08-25 ""H5P08S1"" -2.25363428884946 2.60198398292786 1.47456330692278 43.9831428571429 892.6 ""H5"" ""S1"""
"152 2020-08-25 ""H5P09S2"" -1.30021949281283 2.13103839169426 1.46127588452336 41.815 391.583333333333 ""H5"" ""S2"""
"153 2020-08-25 ""H4P02S3"" -0.836030232608968 1.39718488895267 2.3386333697904 43.084 679.314285714286 ""H4"" ""S3"""
"154 2020-08-25 ""H4P03S2"" -2.17769288840885 3.44168194464967 1.63490715862157 42.6182857142857 700.857142857143 ""H4"" ""S2"""
"155 2020-08-25 ""H4P10S1"" -1.51537589177525 0.943821353155935 1.1375607802775 43.5997142857143 663.257142857143 ""H4"" ""S1"""
"156 2020-08-25 ""H4P11S4"" 1.52596373518667 1.64558413829262 1.75369333545488 44.6725714285714 672.228571428571 ""H4"" ""S4"""
"157 2020-08-25 ""H2P02S2"" 0.0388582438384551 1.56714863816071 1.79985515627465 42.2417142857143 482.428571428571 ""H2"" ""S2"""
"158 2020-08-25 ""H2P03S3"" 0.364218916718385 2.8061931264715 2.31376754886325 44.8134285714286 690.228571428571 ""H2"" ""S3"""
"159 2020-08-25 ""H2P04S1"" -2.00035590208568 0.73621928210646 1.37720170752894 44.2654285714286 842.114285714286 ""H2"" ""S1"""
"160 2020-08-25 ""H2P06S4"" -0.11199958308235 3.14095581562753 2.94742238017659 47.5517142857143 1075.62857142857 ""H2"" ""S4"""
"161 2020-08-26 ""H1P01S4"" -3.57216236807299 3.44591807254942 2.96672379284291 40.0354285714286 621.742857142857 ""H1"" ""S4"""
"162 2020-08-26 ""H1P02S2"" -1.23874524437722 0.532556125807198 1.08837789129346 41.6528571428571 506.828571428571 ""H1"" ""S2"""
"163 2020-08-26 ""H1P04S1"" -1.25502113374789 0.0471990191996019 0.750625310902624 43.5268571428571 653.828571428571 ""H1"" ""S1"""
"164 2020-08-26 ""H1P10S3"" -5.7707638352999 2.27040547031057 3.66738184663166 48.9305714285714 1488.77142857143 ""H1"" ""S3"""
"165 2020-08-26 ""H3P07S4"" -0.193744958207509 2.19229985212924 2.24152521944875 47.3771428571429 439.6 ""H3"" ""S4"""
"166 2020-08-26 ""H3P09S2"" -0.487166516973115 2.0589793385442 1.26549122456696 46.6834285714286 435.771428571429 ""H3"" ""S2"""
"167 2020-08-26 ""H3P10S3"" -1.48623637641883 1.91200605265869 2.18160156868577 45.7458333333333 624.444444444444 ""H3"" ""S3"""
"168 2020-08-26 ""H3P11S1"" -0.74409852035371 0.671309178850724 0.906437203325594 46.842 598.314285714286 ""H3"" ""S1"""
"169 2020-08-26 ""H5P01S3"" -0.671407971931709 2.55863014634572 1.7990653876811 42.8928571428571 453.914285714286 ""H5"" ""S3"""
"170 2020-08-26 ""H5P02S4"" -0.715131674366513 3.02723083655181 2.13840555544689 40.4708571428571 502.028571428571 ""H5"" ""S4"""
"171 2020-08-26 ""H5P08S1"" -0.160099529179065 1.34244653162284 0.92026100634364 42.3868571428571 538.314285714286 ""H5"" ""S1"""
"172 2020-08-26 ""H5P09S2"" -1.37409356665149 1.76270027357294 1.34016078778075 44.9051428571429 864.628571428571 ""H5"" ""S2"""
"173 2020-08-26 ""H4P02S3"" -0.975371016039281 1.71051228400294 1.58420880438433 44.5214285714286 0 ""H4"" ""S3"""
"174 2020-08-26 ""H4P03S2"" -2.24126968866326 2.33613843069872 0.86769889210114 44.1422857142857 0 ""H4"" ""S2"""
"175 2020-08-26 ""H4P10S1"" -0.602321644841203 0.786574357874646 0.589059420393045 44.6108571428571 0 ""H4"" ""S1"""
"176 2020-08-26 ""H4P11S4"" -0.246375332058057 1.60688453021252 1.64758606732979 49.6894285714286 0 ""H4"" ""S4"""
"177 2020-08-26 ""H2P02S2"" 0.0565128080719612 0.88518511530772 0.685588481791034 43.8191428571429 0 ""H2"" ""S2"""
"178 2020-08-26 ""H2P03S3"" 0.339056250926484 0.792075046332798 1.26380840970347 42.8025714285714 0 ""H2"" ""S3"""
"179 2020-08-26 ""H2P04S1"" -0.176511945137171 0.592726615993172 0.572209574028554 44.0442857142857 0 ""H2"" ""S1"""
"180 2020-08-26 ""H2P06S4"" -0.0504851568947603 1.80611895102128 1.90642144027012 43.7382857142857 0 ""H2"" ""S4"""
"181 2020-08-28 ""H1P01S4"" -4.39350905177895 2.53901822082429 1.72575787098966 39.0774285714286 536.628571428571 ""H1"" ""S4"""
"182 2020-08-28 ""H1P02S2"" -1.21309942793086 0.551395110184943 0.762686204764836 40.1051428571429 561.114285714286 ""H1"" ""S2"""
"183 2020-08-28 ""H1P10S3"" -4.31116687460676 2.27452559489517 1.64637493465272 40.2757142857143 589.114285714286 ""H1"" ""S3"""
"184 2020-08-28 ""H3P07S4"" -2.55725363048063 1.55215060912415 1.74251134221559 39.9105714285714 573.514285714286 ""H3"" ""S4"""
"185 2020-08-28 ""H3P09S2"" -2.23099744619877 0.971545747785189 1.15114354729707 41.7 619.685714285714 ""H3"" ""S2"""
"186 2020-08-28 ""H3P10S3"" -2.79317160236412 1.29659142099311 1.46910719583063 42.036 648.257142857143 ""H3"" ""S3"""
"187 2020-08-28 ""H5P01S3"" -4.46012765323366 1.67330482305931 1.83481869433658 42.722 809.485714285714 ""H5"" ""S3"""
"188 2020-08-28 ""H5P02S4"" -3.78512988687975 1.69323067465518 1.96422676446483 43.7877142857143 811.057142857143 ""H5"" ""S4"""
"189 2020-08-28 ""H5P09S2"" -1.44337767919557 0.297683136790767 0.85478026346983 45.7351428571429 838.4 ""H5"" ""S2"""
"190 2020-08-28 ""H4P02S3"" -1.59110042150801 0.584177557663535 0.893123975130118 45.3882857142857 926.657142857143 ""H4"" ""S3"""
"191 2020-08-28 ""H4P03S2"" -2.19641903175014 0.561149331141588 0.942909566460048 46.2288571428571 782.4 ""H4"" ""S2"""
"192 2020-08-28 ""H4P11S4"" -0.551421570330039 0.334022757550395 1.31395873064001 46.6322857142857 970.342857142857 ""H4"" ""S4"""
"193 2020-08-28 ""H2P02S2"" -1.07115036784281 0.0459838939319782 0.968708947824034 47.1005714285714 1051.25714285714 ""H2"" ""S2"""
"194 2020-08-28 ""H2P03S3"" -1.40305907753083 0.28982934053794 1.77428259788976 49.3311428571429 1026.77142857143 ""H2"" ""S3"""
"195 2020-08-28 ""H2P06S4"" -1.96725672296643 0.64697108694258 2.39726382287081 50.0345714285714 1111.91428571429 ""H2"" ""S4"""
"196 2020-08-31 ""H1P01S4"" -2.85885628313417 1.66434494609294 0.595942902418417 29.3834285714286 315.4 ""H1"" ""S4"""
"197 2020-08-31 ""H1P02S2"" -1.79018283624734 -0.265931323465391 0.442244118146716 31.21 401.914285714286 ""H1"" ""S2"""
